Note: The data and information in this document is reflective of a hypothetical situation and client. This document is to be used for KPMG Virtual Internship purposes only. ,,,,,,,,,,,,,,,,,,,,,,
first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value
Norina,Blakeway,Female,60,1980-02-11,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,0.87,1.0875,1.0875,0.924375,133,133,1.2375
My,Chaston,Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,0.62,0.775,0.96875,0.96875,133,133,1.2375
Isak,Bergstram,Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,0.45,0.5625,0.703125,0.703125,142,142,1.23515625
Grannie,Cracker,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,0.51,0.6375,0.6375,0.541875,142,142,1.23515625
Welby,Lourenco,Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,0.78,0.975,1.21875,1.21875,144,144,1.234375
Glenn,Casbourne,Female,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,0.53,0.53,0.53,0.4505,144,144,1.234375
Nadiya,Balasini,Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,0.97,0.97,1.2125,1.030625,146,146,1.225
Tyne,Coate,Female,82,1965-07-15,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,0.77,0.77,0.9625,0.818125,146,146,1.225
Christie,Anders,Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,0.92,0.92,1.15,0.9775,146,146,1.225
Agnella,Capener,Female,58,1969-05-21,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,0.7,0.7,0.7,0.7,146,146,1.225
Bernardine,Delmonti,Female,39,1971-03-31,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,0.75,0.75,0.75,0.6375,146,146,1.225
Daisy,Spowart,Female,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,0.58,0.725,0.725,0.725,146,146,1.225
Denys,Minshall,Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,0.82,1.025,1.025,1.025,152,152,1.221875
Archibald,Blessed,Male,61,1969-02-10,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,0.76,0.95,1.1875,1.009375,153,153,1.21875
Feodor,Englishby,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,0.52,0.52,0.52,0.442,154,154,1.203125
Skippie,Yearsley,Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,1,1,1,0.85,155,155,1.2
Bill,,Female,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,0.95,1.1875,1.484375,1.26171875,155,155,1.2
Tessa,Friese,Female,89,1976-10-24,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,0.57,0.57,0.7125,0.605625,157,157,1.1953125
Roseanne,Caruth,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,0.65,0.65,0.8125,0.690625,158,158,1.1875
Tedra,Goodbanne,Female,4,1978-01-15,Senior Quality Engineer,n/a,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,1.08,1.35,1.6875,1.434375,158,158,1.1875
Roberto,Harme,Male,27,1951-06-11,Environmental Tech,n/a,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,0.96,0.96,1.2,1.2,158,158,1.1875
Nichole,Leisman,Male,37,1986-08-07,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,1.06,1.06,1.325,1.325,158,158,1.1875
Amil,Ennor,Female,23,1995-08-04,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,0.6,0.75,0.9375,0.796875,158,158,1.1875
Shawna,Hinrichsen,Female,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,0.65,0.8125,0.8125,0.8125,163,163,1.18203125
Fonsie,Levane,Male,96,1951-07-10,Account Representative III,n/a,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,0.43,0.5375,0.671875,0.671875,163,163,1.18203125
Emilie,Brody,Female,3,1979-05-22,Director of Sales,n/a,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,0.82,1.025,1.28125,1.0890625,163,163,1.18203125
Robert,Corkill,Male,55,1976-03-12,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,0.93,0.93,1.1625,0.988125,166,166,1.175
Elvira,Kurten,Female,65,1973-03-18,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,0.73,0.73,0.73,0.73,166,166,1.175
Juliana,Mitchenson,Female,55,1989-01-05,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,1.03,1.2875,1.2875,1.094375,166,166,1.175
Regine,Bownes,Female,99,1952-07-01,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,0.95,0.95,1.1875,1.1875,166,166,1.175
Abner,Fraschetti,Male,33,1986-01-23,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,0.62,0.62,0.62,0.62,166,166,1.175
Alvira,Coulman,Female,42,1955-06-05,Account Representative II,n/a,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,0.69,0.69,0.8625,0.8625,166,166,1.175
Sawyer,Sponton,Male,36,1956-02-22,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,0.49,0.6125,0.765625,0.65078125,166,166,1.175
Feodor,Vickers,Male,60,1989-11-18,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,1.09,1.3625,1.3625,1.158125,173,173,1.171875
Paten,Cayet,Male,56,1995-02-19,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,0.45,0.5625,0.5625,0.5625,174,174,1.16875
Loria,Tappington,Female,72,1955-09-06,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,0.51,0.51,0.51,0.4335,174,174,1.16875
Tanya,Kiefer,Female,54,1992-07-05,Speech Pathologist,Telecommunications,High Net Worth,N,No,7,4 Warner Park,2146,NSW,Australia,9,0.56,0.56,0.7,0.7,174,174,1.16875
Devonne,Alderwick,Female,79,1939-01-29,Research Associate,n/a,High Net Worth,N,Yes,9,534 Lien Lane,3122,VIC,Australia,7,1.04,1.3,1.3,1.3,177,177,1.1625
Omero,McDonand,Male,51,1952-04-01,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,0.5,0.5,0.625,0.53125,177,177,1.1625
Iain,Haversham,Male,92,1950-12-26,Sales Representative,Retail,Mass Customer,N,Yes,13,170 Briar Crest Place,2120,NSW,Australia,10,0.75,0.9375,1.171875,0.99609375,177,177,1.1625
Keriann,Newham,Female,71,1975-03-26,Assistant Manager,Financial Services,Mass Customer,N,No,5,0193 Northland Street,4179,QLD,Australia,9,1.04,1.04,1.3,1.105,177,177,1.1625
Conroy,Rappaport,Male,39,1965-01-08,Assistant Manager,Health,High Net Worth,N,No,9,5219 Pearson Drive,2148,NSW,Australia,9,0.72,0.72,0.9,0.9,181,181,1.158125
Dorian,Rustman,Male,78,1974-12-09,Junior Executive,Manufacturing,Mass Customer,N,No,18,6156 Summit Center,4352,QLD,Australia,7,0.85,0.85,0.85,0.7225,181,181,1.158125
Quillan,Guinane,Male,36,1946-03-24,Community Outreach Specialist,n/a,High Net Worth,N,Yes,21,803 Badeau Point,2177,NSW,Australia,8,0.41,0.5125,0.5125,0.5125,181,181,1.158125
Harlin,Mazin,Male,34,1974-03-25,Computer Systems Analyst I,Manufacturing,Mass Customer,N,Yes,13,735 Westridge Road,2454,NSW,Australia,7,0.51,0.6375,0.6375,0.541875,181,181,1.158125
Eustacia,Dornan,Female,68,1985-09-02,Account Representative IV,Property,Mass Customer,N,No,5,1190 Hanson Street,3806,VIC,Australia,9,0.54,0.54,0.675,0.57375,181,181,1.158125
Maury,Galego,Male,65,1992-07-27,Social Worker,Health,High Net Worth,N,Yes,3,370 Division Junction,3032,VIC,Australia,10,0.89,1.1125,1.390625,1.390625,181,181,1.158125
Reggie,Kernar,Female,26,1971-11-28,Senior Editor,Financial Services,High Net Worth,N,No,17,90 Northport Hill,2228,NSW,Australia,10,0.85,0.85,1.0625,1.0625,181,181,1.158125
Brigitte,Whellams,Female,67,1973-05-09,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,17,77785 Veith Lane,2766,NSW,Australia,8,0.44,0.55,0.55,0.4675,188,188,1.15625
Kinna,Kollasch,Female,7,1986-11-09,Safety Technician I,Property,High Net Worth,N,No,9,232 Knutson Park,4060,QLD,Australia,10,0.67,0.67,0.8375,0.8375,188,188,1.15625
Maurizio,Comi,Male,74,1996-05-30,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,0.63,0.63,0.7875,0.7875,190,190,1.15546875
Elbertina,Fendley,Female,32,1992-03-27,Physical Therapy Assistant,Property,Affluent Customer,N,No,8,743 Debra Court,2117,NSW,Australia,11,0.6,0.6,0.75,0.75,191,191,1.15
Franklin,Wohler,Male,55,1938-10-16,Clinical Specialist,Health,Mass Customer,N,Yes,7,6966 Delladonna Street,2250,NSW,Australia,8,0.88,1.1,1.1,0.935,191,191,1.15
Allyson,Petchell,Female,16,1970-03-19,Human Resources Manager,Telecommunications,High Net Worth,N,No,10,98221 Pennsylvania Place,2170,NSW,Australia,8,0.93,0.93,0.93,0.93,191,191,1.15
Ermentrude,Heindle,Female,47,1969-08-02,GIS Technical Architect,Argiculture,Mass Customer,N,No,7,307 Knutson Center,2226,NSW,Australia,10,0.66,0.66,0.825,0.70125,191,191,1.15
Alanna,Lerway,Female,26,1944-01-05,Dental Hygienist,Health,Mass Customer,N,Yes,11,593 Alpine Drive,3195,VIC,Australia,12,0.81,1.0125,1.265625,1.07578125,195,195,1.1475
Vincent,Jopke,Male,6,1972-03-10,Analog Circuit Design manager,Property,Affluent Customer,N,No,16,45788 Stang Plaza,3687,VIC,Australia,3,0.96,0.96,0.96,0.96,195,195,1.1475
Mandie,Jeffryes,Female,60,1981-02-16,Business Systems Development Analyst,n/a,High Net Worth,N,No,7,96515 Di Loreto Pass,4109,QLD,Australia,9,0.68,0.68,0.85,0.85,195,195,1.1475
Collete,Dory,Female,66,1990-01-09,Information Systems Manager,n/a,High Net Worth,N,No,2,8625 Dakota Plaza,2210,NSW,Australia,9,1.07,1.07,1.3375,1.3375,195,195,1.1475
Leonid,Dorricott,Male,44,1993-11-18,Environmental Tech,n/a,Affluent Customer,N,No,3,02 Hoffman Road,2448,NSW,Australia,3,0.45,0.45,0.45,0.45,195,195,1.1475
Charlena,Berney,Female,55,1966-01-02,Geological Engineer,Manufacturing,High Net Worth,N,Yes,12,496 Logan Center,4207,QLD,Australia,4,0.54,0.675,0.675,0.675,195,195,1.1475
Alfonso,Massel,Male,70,1940-12-05,,n/a,Mass Customer,N,Yes,13,6065 Talisman Crossing,3977,VIC,Australia,7,1.02,1.275,1.275,1.08375,201,201,1.1421875
Engracia,Dobbs,Female,84,1959-04-19,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,0.95,0.95,1.1875,1.009375,202,202,1.140625
Glyn,,Male,47,1945-02-13,General Manager,Manufacturing,Affluent Customer,N,Yes,21,67 Bluejay Plaza,2300,NSW,Australia,9,0.76,0.95,1.1875,1.1875,202,202,1.140625
Rosemonde,Cartwight,Female,44,1952-10-20,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,0.73,0.9125,0.9125,0.775625,202,202,1.140625
Alano,Satchel,Male,2,1998-11-26,Recruiting Manager,n/a,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,0.41,0.41,0.41,0.3485,202,202,1.140625
Corrine,Baribal,Female,19,1948-10-12,Senior Sales Associate,n/a,Affluent Customer,N,Yes,12,3 Mallory Circle,2170,NSW,Australia,8,0.81,1.0125,1.0125,1.0125,206,206,1.1375
Benoit,Harniman,Male,31,1976-08-27,Research Assistant II,Telecommunications,Affluent Customer,N,No,9,1582 Bashford Drive,4018,QLD,Australia,7,0.48,0.48,0.48,0.48,206,206,1.1375
Jeanne,Darte,Female,70,1955-08-18,,n/a,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,0.49,0.6125,0.6125,0.520625,206,206,1.1375
Jenelle,Fearnill,Female,12,1958-01-03,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,1,1,1.25,1.25,206,206,1.1375
Tannie,Gambrell,Male,92,1967-05-25,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,0.75,0.75,0.9375,0.9375,206,206,1.1375
Mick,Macewan,Male,32,1967-12-12,Senior Cost Accountant,Financial Services,Mass Customer,N,No,16,59254 Northland Alley,2032,NSW,Australia,10,0.51,0.51,0.6375,0.541875,206,206,1.1375
Abbie,Oldman,Male,82,1983-11-26,,Health,High Net Worth,N,Yes,5,4 North Drive,2168,NSW,Australia,8,0.87,1.0875,1.359375,1.359375,212,212,1.136875
Tabbie,Curner,Male,12,1997-03-13,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,0.76,0.76,0.76,0.646,212,212,1.136875
Shane,Killen,Male,28,1956-10-16,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,0.58,0.58,0.58,0.58,212,212,1.136875
Roberta,Goodale,Female,9,1947-02-28,Information Systems Manager,Property,Mass Customer,N,Yes,22,013 David Junction,4211,QLD,Australia,7,1.06,1.325,1.325,1.12625,215,215,1.12890625
Kippy,Barabisch,Male,11,2000-04-07,Legal Assistant,Manufacturing,Mass Customer,N,No,4,840 Graceland Street,2125,NSW,Australia,11,0.99,0.99,1.2375,1.051875,215,215,1.12890625
Rosalinde,Cubuzzi,Female,50,1997-09-04,Business Systems Development Analyst,n/a,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,0.77,0.77,0.77,0.6545,215,215,1.12890625
Cami,Barnbrook,Female,8,1963-01-01,Occupational Therapist,Health,Affluent Customer,N,Yes,18,890 Truax Lane,4285,QLD,Australia,2,0.69,0.8625,0.8625,0.8625,218,218,1.12625
Dorian,Stollen,Male,78,1980-02-16,Statistician I,Financial Services,Mass Customer,N,Yes,18,72922 Cambridge Terrace,2026,NSW,Australia,11,0.87,1.0875,1.359375,1.15546875,219,219,1.125
Hunfredo,Hayball,Male,7,1994-04-15,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,0.56,0.56,0.56,0.56,219,219,1.125
Giorgi,O'Shirine,Male,68,1981-06-20,Payment Adjustment Coordinator,Retail,Mass Customer,N,Yes,15,6 Novick Alley,3934,VIC,Australia,8,0.6,0.75,0.75,0.6375,219,219,1.125
Kort,Disley,Male,66,1979-02-05,Technical Writer,Health,Mass Customer,N,Yes,7,76 Donald Trail,2160,NSW,Australia,9,0.99,1.2375,1.546875,1.31484375,219,219,1.125
Gretna,Thredder,Female,62,1966-01-08,,n/a,Mass Customer,N,No,18,1607 Westridge Drive,2203,NSW,Australia,11,0.94,0.94,1.175,0.99875,223,223,1.115625
Tobiah,Heinsius,Male,66,2000-01-25,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,0.75,0.75,0.75,0.75,223,223,1.115625
Wallace,Newart,Male,91,1977-12-06,,IT,Mass Customer,N,No,17,29007 Dapin Street,4650,QLD,Australia,1,0.74,0.74,0.925,0.78625,223,223,1.115625
Hersh,Stubbert,Male,0,2000-06-25,Technical Writer,Manufacturing,Mass Customer,N,Yes,15,68 Fairfield Street,4115,QLD,Australia,8,0.53,0.6625,0.6625,0.563125,226,226,1.1125
Hatti,Carletti,U,35,,Legal Assistant,IT,Affluent Customer,N,Yes,11,6 Iowa Center,2519,NSW,Australia,9,0.44,0.55,0.6875,0.6875,226,226,1.1125
Wyn,Saynor,Male,54,1964-06-22,Cost Accountant,Financial Services,High Net Worth,N,No,8,5 Briar Crest Road,2099,NSW,Australia,9,0.83,0.83,1.0375,1.0375,226,226,1.1125
Maribeth,Stivani,Female,46,1954-11-13,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,0.44,0.44,0.44,0.374,226,226,1.1125
Abigale,Sives,Female,48,1963-12-13,VP Marketing,Health,Affluent Customer,N,Yes,14,2 Glendale Center,4207,QLD,Australia,4,1.08,1.35,1.35,1.35,230,230,1.109375
Gothart,Artus,Male,52,1978-05-31,Health Coach IV,Health,Mass Customer,N,Yes,14,21824 Northridge Alley,2117,NSW,Australia,10,0.86,1.075,1.34375,1.1421875,231,231,1.105
Danny,Bodle,Male,50,1943-09-24,Statistician I,Manufacturing,Mass Customer,N,Yes,18,68 Anthes Park,2007,NSW,Australia,9,0.8,1,1.25,1.0625,231,231,1.105
Vittorio,Boxen,Male,94,1965-08-15,Mechanical Systems Engineer,n/a,Mass Customer,N,No,14,3 Anthes Court,2148,NSW,Australia,9,0.91,0.91,1.1375,0.966875,233,233,1.1
Deborah,Petrovsky,Female,53,1943-07-14,Teacher,Property,Mass Customer,N,No,16,036 Redwing Street,2011,NSW,Australia,7,0.41,0.41,0.41,0.3485,233,233,1.1
Agace,Hedge,Female,25,1997-07-23,Media Manager II,n/a,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,1.05,1.3125,1.3125,1.115625,233,233,1.1
Rolland,Esmead,Male,41,1940-07-13,,Health,Affluent Customer,N,No,8,72008 7th Avenue,2200,NSW,Australia,8,0.78,0.78,0.78,0.78,233,233,1.1
Latrena,Walklate,Female,97,1943-10-05,Mechanical Systems Engineer,Telecommunications,High Net Worth,N,Yes,13,87 Sheridan Junction,2281,NSW,Australia,8,0.64,0.8,1,1,237,237,1.094375
Mariquilla,Springthorpe,Female,30,1939-04-04,Director of Sales,n/a,Mass Customer,N,Yes,8,811 Melrose Park,2224,NSW,Australia,10,0.64,0.8,1,0.85,237,237,1.094375
Leticia,Danovich,Female,84,1941-10-02,Design Engineer,Entertainment,Mass Customer,N,Yes,15,2 Logan Avenue,4307,QLD,Australia,1,0.56,0.7,0.875,0.74375,237,237,1.094375
Harman,Lynds,Male,4,1961-05-27,Professor,n/a,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,0.6,0.75,0.75,0.6375,240,240,1.09
Farra,Matyushkin,Female,18,1974-01-24,VP Quality Control,Manufacturing,High Net Worth,N,Yes,9,52761 Portage Crossing,3170,VIC,Australia,9,0.64,0.8,1,1,241,241,1.0875
Robenia,Monks,Female,94,1959-05-08,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,1.06,1.06,1.325,1.12625,241,241,1.0875
Roman,Eastwood,Male,57,1969-09-21,Associate Professor,Manufacturing,Affluent Customer,N,Yes,16,8957 Anhalt Alley,3004,VIC,Australia,4,0.8,1,1,1,241,241,1.0875
Solomon,Bruck,Male,29,1957-11-15,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,0.67,0.67,0.67,0.5695,244,244,1.08375
Krystyna,Airey,Female,2,1950-09-05,Safety Technician II,n/a,Mass Customer,N,Yes,19,75760 Toban Junction,4006,QLD,Australia,5,1.06,1.325,1.325,1.12625,244,244,1.08375
Katharine,Redbourn,Female,8,1967-09-11,Recruiter,Manufacturing,Affluent Customer,N,Yes,4,178 Waxwing Trail,3134,VIC,Australia,10,0.6,0.75,0.9375,0.9375,244,244,1.08375
Cammy,Stoneham,Female,74,1963-05-02,Business Systems Development Analyst,Financial Services,High Net Worth,N,No,14,8648 Green Alley,4680,QLD,Australia,3,0.89,0.89,0.89,0.89,244,244,1.08375
Ellsworth,Andrieux,Male,49,1971-04-26,Senior Cost Accountant,Financial Services,Affluent Customer,N,Yes,10,08912 Carberry Place,4036,QLD,Australia,7,0.93,1.1625,1.1625,1.1625,248,248,1.078125
Federico,Leuty,Male,59,1978-12-11,Product Engineer,Property,High Net Worth,N,Yes,11,720 Menomonie Crossing,2380,NSW,Australia,4,0.71,0.8875,0.8875,0.8875,249,249,1.07578125
Ferdy,Hornung,Male,57,1974-05-14,Analog Circuit Design manager,Entertainment,High Net Worth,N,No,18,0686 Hallows Trail,4506,QLD,Australia,3,1.01,1.01,1.01,1.01,250,250,1.075
Sunny,Christescu,Female,90,1975-03-12,Cost Accountant,Financial Services,Mass Customer,N,No,11,6668 Blue Bill Park Plaza,2209,NSW,Australia,10,0.79,0.79,0.9875,0.839375,250,250,1.075
Shadow,Yakutin,Male,85,1967-02-03,Software Test Engineer IV,Health,Affluent Customer,N,Yes,6,06 Dwight Park,4119,QLD,Australia,2,0.72,0.9,1.125,1.125,252,252,1.073125
Sharai,Priddie,Female,13,1961-01-16,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,0.43,0.43,0.5375,0.456875,252,252,1.073125
Celeste,Fretson,Female,91,1980-09-16,Product Engineer,IT,Mass Customer,N,No,9,14709 Portage Avenue,2166,NSW,Australia,9,0.82,0.82,1.025,0.87125,252,252,1.073125
Lea,Ilyinski,Female,75,1997-09-25,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,0.74,0.74,0.925,0.925,252,252,1.073125
Dyann,Olechnowicz,Female,17,1939-07-17,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,16,0474 Bowman Hill,3031,VIC,Australia,10,0.76,0.76,0.95,0.8075,252,252,1.073125
Delly,Sunman,Female,49,1959-04-11,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,0.59,0.59,0.7375,0.626875,252,252,1.073125
Malvin,Ryhorovich,Male,37,1962-03-03,Quality Control Specialist,n/a,Mass Customer,N,No,5,5356 Sugar Plaza,4818,QLD,Australia,3,0.72,0.72,0.72,0.612,252,252,1.073125
Tanya,Hamberston,Female,45,2000-09-25,Product Engineer,n/a,Mass Customer,N,Yes,9,7 Schiller Point,4113,QLD,Australia,6,1.02,1.275,1.275,1.08375,259,259,1.0625
Kaela,Romaines,Female,41,1971-11-27,Geological Engineer,Manufacturing,High Net Worth,N,No,19,9193 Prairieview Drive,2155,NSW,Australia,10,0.86,0.86,1.075,1.075,259,259,1.0625
Evonne,Bembridge,Female,9,1969-07-06,Recruiting Manager,Retail,Mass Customer,N,Yes,14,13272 Basil Avenue,3103,VIC,Australia,9,0.5,0.625,0.78125,0.6640625,259,259,1.0625
Shannen,Lewin,Female,21,1991-06-07,Analog Circuit Design manager,Argiculture,High Net Worth,N,No,6,29 Aberg Crossing,4210,QLD,Australia,6,0.44,0.44,0.44,0.44,259,259,1.0625
Bogey,Attew,Male,88,1992-11-18,Software Engineer II,IT,Mass Customer,N,Yes,10,4 Monterey Road,4165,QLD,Australia,9,0.64,0.8,1,0.85,259,259,1.0625
Zondra,Ringham,Female,36,1948-01-13,Cost Accountant,Financial Services,Mass Customer,N,Yes,7,416 Lighthouse Bay Lane,4510,QLD,Australia,5,0.49,0.6125,0.6125,0.520625,259,259,1.0625
Barnebas,Apfel,Male,57,1996-02-19,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6.00,0.62,0.775,0.775,0.775,259,259,1.0625
Alleen,Eaken,Female,56,1938-08-31,,n/a,Mass Customer,N,No,10,343 Lakewood Center,2089,NSW,Australia,12,0.88,0.88,1.1,0.935,259,259,1.0625
Gerri,Schimann,Female,81,1969-11-17,Desktop Support Technician,Property,Mass Customer,N,Yes,18,47 Kim Terrace,2566,NSW,Australia,8,0.5,0.625,0.78125,0.6640625,259,259,1.0625
Antonietta,Egle,Female,82,1973-09-25,Actuary,Financial Services,Mass Customer,N,No,7,590 Hagan Parkway,3805,VIC,Australia,7,0.7,0.7,0.875,0.74375,259,259,1.0625
Raff,Waycott,Male,70,1951-12-16,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,0.72,0.9,0.9,0.9,259,259,1.0625
Lark,Gonet,Female,89,1972-01-17,Database Administrator II,Health,High Net Worth,N,No,8,261 Orin Center,2763,NSW,Australia,8,0.64,0.64,0.8,0.8,259,259,1.0625
Cletis,Longley,Male,84,1996-07-01,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,0.89,1.1125,1.390625,1.390625,271,271,1.06
Bartram,Di Lucia,Male,70,1961-01-03,,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,0.56,0.7,0.7,0.595,271,271,1.06
Theresa,Cowper,Female,99,1976-08-24,Accountant III,Manufacturing,Mass Customer,N,No,3,88 Mifflin Pass,2529,NSW,Australia,10,0.59,0.59,0.7375,0.626875,271,271,1.06
Philbert,Raraty,Male,48,1956-06-28,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,0.68,0.68,0.85,0.7225,274,274,1.051875
Egon,Ortells,Male,35,1976-06-11,Structural Engineer,Manufacturing,Affluent Customer,N,No,13,3 Sundown Hill,2168,NSW,Australia,9,0.7,0.7,0.875,0.875,274,274,1.051875
Dahlia,Shovlar,Female,90,1966-03-07,Environmental Specialist,n/a,Affluent Customer,N,Yes,7,655 Glendale Trail,3976,VIC,Australia,3,0.5,0.625,0.78125,0.78125,274,274,1.051875
Timi,Duny,Female,70,1953-03-12,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,0.5,0.5,0.625,0.625,274,274,1.051875
Dominick,Asher,Male,50,1962-10-06,Research Associate,Health,Affluent Customer,N,Yes,5,7307 Lake View Crossing,3804,VIC,Australia,9,0.79,0.9875,1.234375,1.234375,278,278,1.05
Raye,Roo,Female,64,1976-03-07,Database Administrator I,Financial Services,Mass Customer,N,Yes,16,1199 Express Plaza,3046,VIC,Australia,9,0.77,0.9625,1.203125,1.02265625,278,278,1.05
